epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,881.036,0.72788,0.65883,0.01053,0.94446,0.87553,0.94259,0.80215,0.63195,0.45109,0.01175,0.000990365,0.000990365,0.000990365
43,901.98,0.72145,0.67001,0.00987,0.91863,0.90645,0.95188,0.78963,0.63864,0.45841,0.01187,0.000973861,0.000973861,0.000973861
44,922.703,0.67301,0.60076,0.00933,0.89182,0.85926,0.91443,0.77336,0.66434,0.54184,0.01183,0.000957358,0.000957358,0.000957358
45,942.884,0.6776,0.62395,0.00945,0.96227,0.91537,0.9582,0.80612,0.68714,0.40026,0.01192,0.000940855,0.000940855,0.000940855
46,962.743,0.68729,0.61846,0.00929,0.93044,0.83083,0.93569,0.82058,0.63081,0.48032,0.01069,0.000924352,0.000924352,0.000924352
47,982.808,0.69741,0.59945,0.00928,0.93272,0.8269,0.9375,0.78437,0.68495,0.48192,0.0118,0.000907848,0.000907848,0.000907848
48,1003.02,0.68154,0.63108,0.00912,0.97099,0.89714,0.96818,0.82414,0.60558,0.33743,0.01002,0.000891345,0.000891345,0.000891345
49,1023.04,0.66575,0.5973,0.0091,0.96132,0.89505,0.95418,0.82849,0.59175,0.37474,0.01043,0.000874842,0.000874842,0.000874842
50,1046.1,0.64756,0.58016,0.00884,0.97947,0.9354,0.95849,0.82655,0.61352,0.32577,0.01038,0.000858338,0.000858338,0.000858338
51,1066.86,0.65677,0.56225,0.00888,0.95534,0.90674,0.94504,0.79847,0.62495,0.39688,0.0111,0.000841835,0.000841835,0.000841835
52,1087.47,0.65082,0.57076,0.00885,0.93736,0.94883,0.95167,0.81733,0.58981,0.33744,0.01016,0.000825332,0.000825332,0.000825332
53,1107.48,0.61261,0.529,0.00844,0.96742,0.91928,0.95411,0.81605,0.65445,0.37811,0.01182,0.000808828,0.000808828,0.000808828
54,1127.74,0.64086,0.55623,0.0091,0.96134,0.85839,0.93908,0.80855,0.60551,0.40212,0.01027,0.000792325,0.000792325,0.000792325
55,1147.74,0.61164,0.54686,0.00864,0.95322,0.90587,0.94514,0.81555,0.61012,0.35284,0.01064,0.000775822,0.000775822,0.000775822
56,1168.4,0.63377,0.5733,0.00872,0.97231,0.94041,0.95794,0.82915,0.58469,0.37934,0.00995,0.000759318,0.000759318,0.000759318
57,1188.9,0.60078,0.55958,0.00845,0.92847,0.94999,0.95339,0.83764,0.56812,0.37292,0.00943,0.000742815,0.000742815,0.000742815
58,1209.37,0.61745,0.55446,0.00865,0.97615,0.85271,0.92857,0.80358,0.53936,0.42787,0.0089,0.000726312,0.000726312,0.000726312
59,1229.49,0.60659,0.53348,0.00847,0.88639,0.93337,0.94334,0.79699,0.61064,0.46836,0.01099,0.000709809,0.000709809,0.000709809
60,1249.86,0.60744,0.56388,0.00826,0.98877,0.94041,0.95866,0.83723,0.58331,0.3883,0.00943,0.000693305,0.000693305,0.000693305
61,1269.9,0.60073,0.54894,0.00807,0.98619,0.93876,0.95783,0.85119,0.58701,0.34802,0.00938,0.000676802,0.000676802,0.000676802
62,1290.19,0.60357,0.5246,0.00822,0.97142,0.90446,0.94957,0.84316,0.56677,0.41454,0.00923,0.000660299,0.000660299,0.000660299
63,1310.92,0.61172,0.5146,0.00847,0.99282,0.92548,0.94753,0.84349,0.51476,0.36715,0.00871,0.000643795,0.000643795,0.000643795
64,1331.01,0.57479,0.49075,0.00789,0.93159,0.94745,0.95347,0.84284,0.529,0.33254,0.009,0.000627292,0.000627292,0.000627292
65,1352.92,0.58269,0.49748,0.00814,0.97912,0.94041,0.95677,0.848,0.54634,0.34202,0.00884,0.000610789,0.000610789,0.000610789
66,1377.07,0.55062,0.46638,0.0076,0.95073,0.93096,0.96171,0.83297,0.58623,0.31105,0.00967,0.000594286,0.000594286,0.000594286
67,1397.72,0.55464,0.46914,0.00724,0.98785,0.89084,0.95512,0.83348,0.56857,0.35084,0.00924,0.000577782,0.000577782,0.000577782
68,1417.88,0.54185,0.47361,0.00744,0.96333,0.90435,0.95436,0.84887,0.51059,0.35314,0.00801,0.000561279,0.000561279,0.000561279
69,1437.92,0.54769,0.48694,0.00743,0.97323,0.93904,0.956,0.8582,0.54225,0.33096,0.00898,0.000544776,0.000544776,0.000544776
70,1458.31,0.5398,0.47361,0.00764,0.92702,0.95364,0.95404,0.84467,0.56585,0.33103,0.00896,0.000528272,0.000528272,0.000528272
71,1478.3,0.5575,0.49587,0.00787,0.96891,0.90676,0.95856,0.85476,0.52696,0.36414,0.00827,0.000511769,0.000511769,0.000511769
72,1498.27,0.55016,0.46209,0.00741,0.94704,0.96154,0.95813,0.83855,0.53143,0.32862,0.0086,0.000495266,0.000495266,0.000495266
73,1518.23,0.53184,0.47809,0.00737,0.96325,0.93032,0.96069,0.8572,0.5168,0.29905,0.00841,0.000478762,0.000478762,0.000478762
74,1539.04,0.52377,0.46273,0.00714,0.96372,0.92719,0.95918,0.86597,0.47025,0.34157,0.0075,0.000462259,0.000462259,0.000462259
